iter	Passed	Remaining
306	514	1162
307	515	1158
308	516	1155
309	517	1152
310	518	1149
311	519	1145
312	520	1142
313	521	1139
314	522	1136
315	523	1133
316	525	1133
317	527	1130
318	528	1127
319	528	1124
320	529	1121
321	530	1117
322	532	1115
323	533	1112
324	534	1109
325	535	1106
326	536	1104
327	537	1101
328	538	1098
329	540	1096
330	541	1094
331	542	1092
332	543	1089
333	545	1086
334	546	1083
335	546	1080
336	548	1078
337	549	1075
338	550	1072
339	551	1070
340	552	1067
341	555	1069
342	556	1066
343	557	1063
344	559	1061
345	560	1058
346	561	1055
347	562	1053
348	563	1050
349	564	1047
350	565	1044
351	566	1042
352	567	1039
353	569	1038
354	570	1036
355	571	1034
356	572	1032
357	574	1029
358	575	1026
359	575	1023
360	577	1021
361	578	1019
362	579	1016
363	580	1013
364	581	1011
365	582	1008
366	585	1009
367	586	1006
368	587	1004
369	588	1001
370	589	999
371	590	996
372	591	994
373	592	991
374	593	989
375	594	987
376	595	984
377	596	982
378	598	981
379	600	979
380	601	977
381	602	974
382	603	972
383	604	969
384	605	967
385	606	964
386	607	962
387	608	960
388	609	957
389	610	955
390	611	952
391	615	954
392	616	951
393	617	949
394	618	947
395	619	944
396	620	942
397	621	940
398	622	938
399	623	935
400	625	933
401	626	931
402	627	929
403	628	927
404	630	925
405	631	924
406	632	921
407	633	919
408	634	917
409	635	914
410	636	912
411	637	910
412	638	907
413	639	905
414	640	903
415	644	904
416	645	902
417	646	899
418	647	897
419	648	895
420	649	893
421	650	890
422	651	888
423	652	886
424	653	883
425	654	881
426	655	879
427	656	877
428	658	876
429	659	874
430	661	872
431	662	870
432	663	868
433	664	866
434	665	864
435	666	862
436	667	859
437	668	857
438	669	855
439	670	853
440	673	853
441	674	851
442	675	849
443	676	847
444	678	845
445	679	843
446	680	841
447	681	839
448	682	837
449	683	835
450	684	832
451	685	830
452	687	830
453	688	828
454	690	826
455	691	824
456	692	822
457	693	820
458	694	818
459	695	816
460	696	814
461	697	812
462	698	809
463	699	807
464	700	805
465	703	806
466	704	804
467	705	802
468	706	800
